time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-05-21 09:30:00-04:00,LLMNVDAStrategy,,bt_1,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-05-21 09:30:00-04:00,LLMNVDAStrategy,,bt_1,NVDA,buy,market,fill,133.05999755859375,312.0,1,41.51471923828125,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,LLMNVDAStrategy,,6f344e3ecca94df7b4f7ceefa624136c,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,LLMNVDAStrategy,,bt_1,NVDA,buy,market,canceled,,,1,41.51471923828125,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,LLMNVDAStrategy,,bd6ee1d1b87645a8a266e5773d7987c5,NVDA,sell_to_close,stop,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,LLMNVDAStrategy,,bd6ee1d1b87645a8a266e5773d7987c5,NVDA,sell_to_close,stop,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,LLMNVDAStrategy,,41743234167f41e1b1ab2e0e45ff8cda,NVDA,sell,market,new,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,LLMNVDAStrategy,,41743234167f41e1b1ab2e0e45ff8cda,NVDA,sell,market,fill,145.55999755859375,312.0,1,45.41471923828125,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-02 09:30:00-04:00,LLMNVDAStrategy,,bt_2,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-02 09:30:00-04:00,LLMNVDAStrategy,,bt_2,NVDA,buy,market,fill,152.97999572753906,298.0,1,45.58803872680664,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 08:30:00-04:00,LLMNVDAStrategy,,aaaca9ae946944daa335cf186b70797e,NVDA,sell_to_close,stop,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 08:30:00-04:00,LLMNVDAStrategy,,784ab247a33b45139c7a5f5cb7d3a232,NVDA,sell_to_close,limit,fill,172.7,298.0,1,51.4646,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,LLMNVDAStrategy,,bt_3,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,LLMNVDAStrategy,,bt_3,NVDA,buy,market,fill,172.02000427246094,192.0,1,33.0278408203125,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-22 08:30:00-04:00,LLMNVDAStrategy,,78c1b7cab0224a50a06b020cadae68df,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-22 08:30:00-04:00,LLMNVDAStrategy,,b1f1dbdf6fa84ced9dcc9a2c1bb1b8d4,NVDA,sell_to_close,stop,fill,168.23,192.0,1,32.30016,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-29 09:30:00-04:00,LLMNVDAStrategy,,bt_4,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-29 09:30:00-04:00,LLMNVDAStrategy,,bt_4,NVDA,buy,market,fill,177.9600067138672,250.0,1,44.4900016784668,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 08:30:00-04:00,LLMNVDAStrategy,,aa0918a4958b47918f663f3a077454fe,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 08:30:00-04:00,LLMNVDAStrategy,,bebdc77bf31c4ab5a49fab4fc24568c1,NVDA,sell_to_close,stop,fill,170.0,250.0,1,42.5,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-27 09:30:00-04:00,LLMNVDAStrategy,,bt_5,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-27 09:30:00-04:00,LLMNVDAStrategy,,bt_5,NVDA,buy,market,fill,181.97999572753906,533.0,1,96.99533772277832,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-29 08:30:00-04:00,LLMNVDAStrategy,,3425951fec754797b4270a919b7ccb32,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-29 08:30:00-04:00,LLMNVDAStrategy,,cfed5c5044504f16a3d69c0328edc699,NVDA,sell_to_close,stop,fill,174.76,533.0,1,93.14708,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-03 09:30:00-05:00,LLMNVDAStrategy,,bt_6,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-03 09:30:00-05:00,LLMNVDAStrategy,,bt_6,NVDA,buy,market,fill,208.0800018310547,223.0,1,46.4018404083252,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-05 08:30:00-05:00,LLMNVDAStrategy,,c6c1f78e5dde498f8e3c00158fb5d0ac,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-05 08:30:00-05:00,LLMNVDAStrategy,,22d0562b3811478a8eb47b133ca374f8,NVDA,sell_to_close,stop,fill,197.29,223.0,1,43.99567,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
