time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-05-21 09:30:00-04:00,buy,new,,NVDA,stock,,,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-05-21 09:30:00-04:00,buy,fill,312.0,NVDA,stock,,,,133.05999755859375,market,1,41.51471923828125,0.0,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,sell_to_close,canceled,,NVDA,stock,,,,,limit,1,,0.0,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,buy,canceled,,NVDA,stock,,,,,market,1,41.51471923828125,0.0,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,sell_to_close,canceled,,NVDA,stock,,,,,stop,1,,0.0,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,sell_to_close,canceled,,NVDA,stock,,,,,stop,1,,0.0,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,sell,new,,NVDA,stock,,,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-06-24 09:30:00-04:00,sell,fill,312.0,NVDA,stock,,,,145.55999755859375,market,1,45.41471923828125,0.0,trade,,,,,,,,,,,,
2025-07-02 09:30:00-04:00,buy,new,,NVDA,stock,,,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-02 09:30:00-04:00,buy,fill,298.0,NVDA,stock,,,,152.97999572753906,market,1,45.58803872680664,0.0,trade,,,,,,,,,,,,
2025-07-17 08:30:00-04:00,sell_to_close,canceled,,NVDA,stock,,,,,stop,1,,0.0,trade,,,,,,,,,,,,
2025-07-17 08:30:00-04:00,sell_to_close,fill,298.0,NVDA,stock,,,,172.7,limit,1,51.4646,0.0,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,buy,new,,NVDA,stock,,,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,buy,fill,192.0,NVDA,stock,,,,172.02000427246094,market,1,33.0278408203125,0.0,trade,,,,,,,,,,,,
2025-07-22 08:30:00-04:00,sell_to_close,canceled,,NVDA,stock,,,,,limit,1,,0.0,trade,,,,,,,,,,,,
2025-07-22 08:30:00-04:00,sell_to_close,fill,192.0,NVDA,stock,,,,168.23,stop,1,32.30016,0.0,trade,,,,,,,,,,,,
2025-07-29 09:30:00-04:00,buy,new,,NVDA,stock,,,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-07-29 09:30:00-04:00,buy,fill,250.0,NVDA,stock,,,,177.9600067138672,market,1,44.4900016784668,0.0,trade,,,,,,,,,,,,
2025-08-20 08:30:00-04:00,sell_to_close,canceled,,NVDA,stock,,,,,limit,1,,0.0,trade,,,,,,,,,,,,
2025-08-20 08:30:00-04:00,sell_to_close,fill,250.0,NVDA,stock,,,,170.0,stop,1,42.5,0.0,trade,,,,,,,,,,,,
2025-08-27 09:30:00-04:00,buy,new,,NVDA,stock,,,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-27 09:30:00-04:00,buy,fill,533.0,NVDA,stock,,,,181.97999572753906,market,1,96.99533772277832,0.0,trade,,,,,,,,,,,,
2025-08-29 08:30:00-04:00,sell_to_close,canceled,,NVDA,stock,,,,,limit,1,,0.0,trade,,,,,,,,,,,,
2025-08-29 08:30:00-04:00,sell_to_close,fill,533.0,NVDA,stock,,,,174.76,stop,1,93.14708,0.0,trade,,,,,,,,,,,,
2025-11-03 09:30:00-05:00,buy,new,,NVDA,stock,,,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-11-03 09:30:00-05:00,buy,fill,223.0,NVDA,stock,,,,208.0800018310547,market,1,46.4018404083252,0.0,trade,,,,,,,,,,,,
2025-11-05 08:30:00-05:00,sell_to_close,canceled,,NVDA,stock,,,,,limit,1,,0.0,trade,,,,,,,,,,,,
2025-11-05 08:30:00-05:00,sell_to_close,fill,223.0,NVDA,stock,,,,197.29,stop,1,43.99567,0.0,trade,,,,,,,,,,,,
