time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-06-06 09:30:00-04:00,LLMNVDAStrategy,,bt_1,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-06-06 09:30:00-04:00,LLMNVDAStrategy,,bt_1,NVDA,buy,market,fill,142.50999450683594,264.0,1,37.62263854980469,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-03 08:30:00-04:00,LLMNVDAStrategy,,209169a9ddf14ff3a5ac8bfd1260911a,NVDA,sell_to_close,stop,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-03 08:30:00-04:00,LLMNVDAStrategy,,4c5f93395b5d4973a26b39480e38a94c,NVDA,sell_to_close,limit,fill,159.37,264.0,1,42.07368,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-08 09:30:00-04:00,LLMNVDAStrategy,,bt_2,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-08 09:30:00-04:00,LLMNVDAStrategy,,bt_2,NVDA,buy,market,fill,159.3300018310547,329.0,1,52.419570602417,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 08:30:00-04:00,LLMNVDAStrategy,,fa7951cbe0774f16aad62cc2fd3fd46f,NVDA,sell_to_close,stop,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 08:30:00-04:00,LLMNVDAStrategy,,c951ea9d8f7740c7bdfb7347bf5856f6,NVDA,sell_to_close,limit,fill,174.05,329.0,1,57.26245,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,LLMNVDAStrategy,,bt_3,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-17 09:30:00-04:00,LLMNVDAStrategy,,bt_3,NVDA,buy,market,fill,172.02000427246094,318.0,1,54.70236135864258,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-22 08:30:00-04:00,LLMNVDAStrategy,,fd80e623ced54102a64b84673d721759,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-07-22 08:30:00-04:00,LLMNVDAStrategy,,076e35ef0ed54d72a766460fb7d718a2,NVDA,sell_to_close,stop,fill,166.75,318.0,1,53.0265,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,LLMNVDAStrategy,,bt_4,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,LLMNVDAStrategy,,bt_4,NVDA,buy,market,fill,179.6199951171875,306.0,1,54.963718505859376,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 08:30:00-04:00,LLMNVDAStrategy,,40eb28d505c9424fb0fb7f24ce4255e5,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-08-20 08:30:00-04:00,LLMNVDAStrategy,,074da4a4a6c54461aaf017a98b432c87,NVDA,sell_to_close,stop,fill,171.55,306.0,1,52.4943,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-03 09:30:00-05:00,LLMNVDAStrategy,,bt_5,NVDA,buy,market,new,,,1,,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-03 09:30:00-05:00,LLMNVDAStrategy,,bt_5,NVDA,buy,market,fill,208.0800018310547,228.0,1,47.44224041748047,0.0,gtc,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-05 08:30:00-05:00,LLMNVDAStrategy,,d043029a5adf4c5c9505340bea691c17,NVDA,sell_to_close,limit,canceled,,,1,,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
2025-11-05 08:30:00-05:00,LLMNVDAStrategy,,03aeea2711494a849d7cafe3534275f8,NVDA,sell_to_close,stop,fill,197.3,228.0,1,44.9844,0.0,day,,,1,,stock,,trade,,,,,,,,,,,,
